Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Cost,Profit,Payment Method,Gender,Age Group,Shipping Price,Returned,Regional Manager,State Manager,City Manager
5689,CA-2015-131541,28/07/2015,28/07/2015,Same Day,CK-12205,Chloris Kastensmidt,Consumer,United States,Apopka,Florida,32712,South,OFF-EN-10000781,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",48.944,30.80158058,18.14241942,Online,Female,36-50,25,No,Henry Carter,Brian Torres,Brandon Ramirez
6302,US-2015-161305,06/06/2015,12/06/2015,Standard Class,SB-20170,Sarah Bern,Consumer,United States,Chicago,Illinois,60623,North,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",13.984,9.62841708,4.35558292,Cash,Female,50+,10,No,Thomas Torres,Nicholas Allen,Jonathan Davis
7721,CA-2016-108588,05/01/2016,10/01/2016,Standard Class,BG-11695,Brooke Gillingham,Corporate,United States,New York City,New York,10009,East,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,12.42498811,5.055011891,Cash,Male,26-35,10,No,Joseph Young,Gregory Scott,David Perez
712,CA-2018-146136,03/09/2018,07/09/2018,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",24.448,17.58123519,6.866764814,Bank Transfer,Female,18-25,10,No,Henry Carter,Brian Torres,Robert Sanchez
1229,CA-2018-100013,06/11/2018,11/11/2018,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Los Angeles,California,90045,West,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",15.28,12.17503569,3.104964308,Cash,Female,26-35,10,No,William Taylor,Daniel Rodriguez,Samuel Hill
3138,CA-2018-164168,12/11/2018,18/11/2018,Standard Class,LS-16975,Lindsay Shagiari,Home Office,United States,Dallas,Texas,75081,South,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",12.224,9.138460443,3.085539557,Cash,Male,36-50,10,No,Henry Carter,Jason Green,Zachary Perez
4534,CA-2015-140403,10/10/2015,10/10/2015,Same Day,TN-21040,Tanja Norvell,Home Office,United States,Manteca,California,95336,West,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",15.28,10.10440561,5.175594387,Bank Transfer,Male,50+,25,No,William Taylor,Daniel Rodriguez,Adam Torres
4910,CA-2018-127306,14/01/2018,18/01/2018,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,37604,South,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",18.336,13.00637487,5.329625134,Credit Card,Male,18-25,10,No,Henry Carter,Zachary Robinson,Timothy Nguyen
5315,CA-2018-137876,30/04/2018,05/05/2018,Standard Class,DJ-13510,Don Jones,Corporate,United States,San Francisco,California,94110,West,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",30.56,21.44675766,9.113242345,Cash,Male,36-50,10,No,William Taylor,Daniel Rodriguez,Raymond Clark
6215,CA-2015-128538,11/10/2015,15/10/2015,Standard Class,AS-10240,Alan Shonely,Consumer,United States,Redondo Beach,California,90278,West,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",7.64,5.764899647,1.875100353,Credit Card,Male,50+,10,No,William Taylor,Daniel Rodriguez,Paul Jackson
9174,US-2017-155768,01/12/2017,01/12/2017,Same Day,LB-16795,Laurel Beltran,Home Office,United States,Oxnard,California,93030,West,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",22.92,14.10084235,8.819157651,Credit Card,Female,18-25,25,Yes,William Taylor,Daniel Rodriguez,Andrew Baker
356,CA-2017-138520,08/04/2017,13/04/2017,Standard Class,JL-15505,Jeremy Lonsdale,Consumer,United States,New York City,New York,10035,East,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",8.26,6.017276648,2.242723352,Credit Card,Male,26-35,10,No,Joseph Young,Gregory Scott,David Perez
2586,CA-2016-121041,03/11/2016,10/11/2016,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,Haltom City,Texas,76117,South,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",6.608,4.790514353,1.817485647,Cash,Female,50+,10,No,Henry Carter,Jason Green,Jose Johnson
3742,CA-2017-137848,15/01/2017,21/01/2017,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,10011,East,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",16.52,12.61271553,3.907284473,Bank Transfer,Male,26-35,10,No,Joseph Young,Gregory Scott,David Perez
7828,CA-2018-117114,31/10/2018,05/11/2018,Standard Class,CY-12745,Craig Yedwab,Corporate,United States,Chicago,Illinois,60610,North,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",9.912,6.613179654,3.298820346,Credit Card,Male,50+,10,No,Thomas Torres,Nicholas Allen,Jonathan Davis
3043,CA-2018-149559,11/09/2018,12/09/2018,Same Day,KF-16285,Karen Ferguson,Home Office,United States,Long Beach,California,90805,West,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,22.18,13.81061435,8.369385653,Credit Card,Female,26-35,25,Yes,William Taylor,Daniel Rodriguez,Daniel White
3673,CA-2017-104969,08/04/2017,14/04/2017,Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,Troy,Ohio,45373,North,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,8.872,6.6089272,2.2630728,Online,Female,18-25,10,No,Thomas Torres,Patrick Scott,Kevin Ramirez
3696,CA-2017-142097,15/10/2017,20/10/2017,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Springfield,Virginia,22153,South,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,66.54,40.32462233,26.21537767,Credit Card,Male,18-25,10,Yes,Henry Carter,Steven Williams,Robert Hill
4641,CA-2017-102162,11/09/2017,16/09/2017,Standard Class,JF-15565,Jill Fjeld,Consumer,United States,Newport News,Virginia,23602,South,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,11.09,8.75167284,2.33832716,Online,Female,26-35,10,No,Henry Carter,Steven Williams,Jacob Roberts
2500,US-2018-133781,22/06/2018,23/06/2018,First Class,DC-12850,Dan Campbell,Consumer,United States,Miami,Florida,33178,South,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",37.608,25.63048538,11.97751462,Credit Card,Female,26-35,20,No,Henry Carter,Brian Torres,Jack Sanchez
3163,CA-2015-153969,21/09/2015,25/09/2015,Standard Class,HF-14995,Herbert Flentye,Consumer,United States,San Francisco,California,94109,West,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",78.35,51.72739204,26.62260796,Cash,Female,18-25,10,No,William Taylor,Daniel Rodriguez,Raymond Clark
4445,US-2015-147704,16/11/2015,21/11/2015,Standard Class,SR-20740,Steven Roelle,Home Office,United States,Bloomington,Indiana,47401,North,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",78.35,53.42957386,24.92042614,Bank Transfer,Male,18-25,10,No,Thomas Torres,Daniel Thomas,Dennis White
4933,CA-2016-106978,28/09/2016,04/10/2016,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Aurora,Colorado,80013,West,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",12.536,9.932399996,2.603600004,Cash,Female,26-35,10,No,William Taylor,Brian White,Gregory Scott
7798,CA-2018-166184,24/03/2018,27/03/2018,First Class,HR-14830,Harold Ryan,Corporate,United States,New York City,New York,10035,East,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",47.01,29.75286755,17.25713245,Bank Transfer,Male,26-35,20,No,Joseph Young,Gregory Scott,David Perez
8762,CA-2017-159891,31/01/2017,06/02/2017,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,30318,South,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",125.36,92.04853872,33.31146128,Bank Transfer,Female,26-35,10,No,Henry Carter,Ronald Rivera,Jason Davis
38,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,South,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,70.21059707,43.11740293,Credit Card,Female,36-50,10,Yes,Henry Carter,Jason Green,Eric Lewis
1491,CA-2018-151911,30/04/2018,05/05/2018,Second Class,DL-13495,Dionis Lloyd,Corporate,United States,New York City,New York,10024,East,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",62.96,40.7671557,22.1928443,Bank Transfer,Female,50+,15,No,Joseph Young,Gregory Scott,David Perez
4336,CA-2016-154795,20/12/2016,24/12/2016,Standard Class,GZ-14470,Gary Zandusky,Consumer,United States,Bullhead City,Arizona,86442,West,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,7.92,4.838431607,3.081568393,Cash,Male,36-50,10,Yes,William Taylor,Steven Young,Thomas Davis
5673,CA-2018-127922,27/10/2018,03/11/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Dallas,Texas,75081,South,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,15.84,11.53293696,4.307063036,Bank Transfer,Male,36-50,10,No,Henry Carter,Jason Green,Zachary Perez
7264,CA-2018-156363,22/10/2018,28/10/2018,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,31.68,19.01054418,12.66945582,Bank Transfer,Male,18-25,10,Yes,Joseph Young,Daniel Lee,Kevin Adams
9572,CA-2016-113131,24/09/2016,24/09/2016,Same Day,MB-17305,Maria Bertelson,Consumer,United States,Columbus,Ohio,43229,North,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,15.84,9.828385658,6.011614342,Cash,Female,18-25,25,Yes,Thomas Torres,Patrick Scott,Alexander Walker
80,CA-2017-127208,12/06/2017,15/06/2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,129.7198607,78.44013931,Bank Transfer,Female,26-35,20,Yes,Henry Carter,George Wright,Jonathan Torres
2010,CA-2015-116407,15/11/2015,21/11/2015,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Johnson City,Tennessee,37604,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",333.056,232.3113023,100.7446977,Bank Transfer,Male,18-25,10,No,Henry Carter,Zachary Robinson,Timothy Nguyen
2315,CA-2018-122035,20/07/2018,25/07/2018,Standard Class,EM-13825,Elizabeth Moffitt,Corporate,United States,Sioux Falls,South Dakota,57103,North,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",416.32,332.4579013,83.86209872,Bank Transfer,Male,50+,10,No,Thomas Torres,Jack Robinson,Robert Martinez
2969,CA-2018-167941,06/11/2018,09/11/2018,Second Class,JF-15565,Jill Fjeld,Consumer,United States,Fayetteville,North Carolina,28314,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",499.584,394.3806688,105.2033312,Online,Female,26-35,15,No,Henry Carter,Paul Hill,Steven Flores
5616,CA-2017-158001,23/08/2017,27/08/2017,Standard Class,JP-15460,Jennifer Patt,Corporate,United States,New York City,New York,10035,East,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1040.8,799.0927963,241.7072037,Credit Card,Male,36-50,10,No,Joseph Young,Gregory Scott,David Perez
7013,US-2015-135881,23/05/2015,27/05/2015,Standard Class,GT-14710,Greg Tran,Consumer,United States,New York City,New York,10035,East,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,136.539382,71.620618,Online,Female,18-25,10,No,Joseph Young,Gregory Scott,David Perez
8816,CA-2016-144274,23/11/2016,25/11/2016,Second Class,PW-19240,Pierre Wener,Consumer,United States,Wilmington,Delaware,19805,East,OFF-PA-10001583,Office Supplies,Paper,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",44.1,32.71615208,11.38384792,Online,Female,50+,15,No,Joseph Young,Nathan Johnson,James Jones
9736,CA-2015-128062,19/11/2015,22/11/2015,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Philadelphia,Pennsylvania,19134,East,OFF-PA-10001583,Office Supplies,Paper,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",5.88,4.239024551,1.640975449,Online,Male,36-50,15,No,Joseph Young,Daniel Lee,Kevin Adams
1527,CA-2017-122392,22/07/2017,27/07/2017,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Allentown,Pennsylvania,18103,East,OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,4.16,2.733014254,1.426985746,Cash,Female,36-50,10,No,Joseph Young,Daniel Lee,Ryan Williams
1750,US-2015-157406,25/04/2015,29/04/2015,Standard Class,DA-13450,Dianna Arnett,Home Office,United States,Houston,Texas,77095,South,OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,6.24,3.915112913,2.324887087,Cash,Male,36-50,10,No,Henry Carter,Jason Green,Eric Lewis
6962,CA-2018-162096,10/11/2018,10/11/2018,Same Day,TB-21190,Thomas Brumley,Home Office,United States,Riverside,California,92503,West,OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,7.8,5.3035625,2.4964375,Cash,Female,36-50,25,No,William Taylor,Daniel Rodriguez,Brian Perez
670,US-2018-106663,09/06/2018,13/06/2018,Standard Class,MO-17800,Meg O'Connel,Home Office,United States,Chicago,Illinois,60653,North,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,23.976,15.75268835,8.223311647,Bank Transfer,Male,36-50,10,No,Thomas Torres,Nicholas Allen,Jonathan Davis
755,CA-2016-135272,07/12/2016,12/12/2016,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Los Angeles,California,90036,West,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,79.92,50.17812481,29.74187519,Cash,Female,36-50,10,No,William Taylor,Daniel Rodriguez,Samuel Hill
2542,CA-2017-144792,30/04/2017,04/05/2017,Standard Class,KD-16615,Ken Dana,Corporate,United States,Scottsdale,Arizona,85254,West,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,111.888,84.2766359,27.6113641,Bank Transfer,Male,36-50,10,No,William Taylor,Steven Young,Gary Wright
2720,CA-2015-110030,06/12/2015,08/12/2015,Second Class,LF-17185,Luke Foster,Consumer,United States,Houston,Texas,77095,South,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,23.976,14.49874257,9.477257426,Online,Female,36-50,15,Yes,Henry Carter,Jason Green,Eric Lewis
2790,US-2015-117744,02/12/2015,06/12/2015,Standard Class,MD-17860,Michael Dominguez,Corporate,United States,Corpus Christi,Texas,78415,South,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,39.96,31.9265958,8.033404203,Credit Card,Male,18-25,10,No,Henry Carter,Jason Green,Douglas Williams
8485,CA-2018-142391,24/09/2018,24/09/2018,Same Day,PB-19150,Philip Brown,Consumer,United States,Seattle,Washington,98115,West,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,199.8,148.6746333,51.12536668,Online,Male,36-50,25,No,William Taylor,Jose Hall,Dennis Lewis
8832,CA-2016-145324,15/11/2016,19/11/2016,Standard Class,DH-13675,Duane Huffman,Home Office,United States,Harrisonburg,Virginia,22801,South,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,39.96,27.2583176,12.7016824,Credit Card,Male,36-50,10,No,Henry Carter,Steven Williams,George Taylor
9117,CA-2018-153045,19/01/2018,24/01/2018,Second Class,NS-18505,Neola Schneider,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,31.968,23.03491024,8.933089762,Credit Card,Male,18-25,15,No,Joseph Young,Daniel Lee,Kevin Adams
4756,CA-2018-126354,03/02/2018,08/02/2018,Standard Class,SC-20380,Shahid Collister,Consumer,United States,Pembroke Pines,Florida,33024,South,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,115.296,89.14768984,26.14831016,Online,Male,26-35,10,No,Henry Carter,Brian Torres,Timothy Mitchell
4922,CA-2018-114055,25/12/2018,29/12/2018,Second Class,MH-18115,Mick Hernandez,Home Office,United States,Huntsville,Alabama,35810,South,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,96.08,71.82802001,24.25197999,Cash,Male,26-35,15,No,Henry Carter,George Wright,Ryan Anderson
4945,CA-2017-151372,05/09/2017,06/09/2017,First Class,JH-15985,Joseph Holt,Consumer,United States,Redondo Beach,California,90278,West,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,96.08,72.90425752,23.17574248,Cash,Female,36-50,20,No,William Taylor,Daniel Rodriguez,Paul Jackson
5530,CA-2018-136609,06/08/2018,11/08/2018,Standard Class,TB-21355,Todd Boyes,Corporate,United States,Cedar Hill,Texas,75104,South,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,115.296,75.92599243,39.37000757,Cash,Female,18-25,10,No,Henry Carter,Jason Green,Jacob Martin
396,CA-2018-165603,17/10/2018,19/10/2018,Second Class,SS-20140,Saphhira Shifley,Corporate,United States,Warwick,Rhode Island,2886,East,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,49.96,39.2761272,10.6838728,Bank Transfer,Female,18-25,15,No,Joseph Young,George Allen,Samuel Rivera
1424,CA-2016-124800,26/09/2016,30/09/2016,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Mesa,Arizona,85204,West,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,119.904,75.49978863,44.40421137,Bank Transfer,Male,50+,10,No,William Taylor,Steven Young,Kenneth Thomas
6010,CA-2016-135580,30/12/2016,03/01/2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,74.94,48.75894522,26.18105478,Online,Male,18-25,10,No,William Taylor,Daniel Rodriguez,Samuel Hill
6376,CA-2015-107811,29/04/2015,03/05/2015,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Memphis,Tennessee,38109,South,OFF-ST-10000798,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma,99.92,60.73972102,39.18027898,Online,Male,18-25,10,Yes,Henry Carter,Zachary Robinson,George White
4520,CA-2018-107167,10/06/2018,14/06/2018,Standard Class,ND-18460,Neil Ducich,Corporate,United States,Jacksonville,Florida,32216,South,OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",1347.52,814.5932262,532.9267738,Credit Card,Male,50+,10,Yes,Henry Carter,Brian Torres,Andrew Moore
4890,CA-2017-163167,28/11/2017,01/12/2017,Second Class,RF-19345,Randy Ferguson,Corporate,United States,Marietta,Georgia,30062,South,OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",1263.3,932.3272468,330.9727532,Bank Transfer,Female,18-25,15,No,Henry Carter,Ronald Rivera,Nicholas Thomas
6555,CA-2015-137092,20/10/2015,22/10/2015,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Chicago,Illinois,60653,North,OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",505.32,380.1023087,125.2176913,Cash,Male,36-50,15,No,Thomas Torres,Nicholas Allen,Jonathan Davis
7104,CA-2018-147410,04/09/2018,08/09/2018,Standard Class,EJ-14155,Eva Jacobs,Consumer,United States,Santa Ana,California,92704,West,OFF-ST-10003805,Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",421.1,304.3207035,116.7792965,Bank Transfer,Female,26-35,10,No,William Taylor,Daniel Rodriguez,Brian Harris
1235,CA-2017-144344,28/10/2017,28/10/2017,Same Day,PG-18820,Patrick Gardner,Consumer,United States,Boynton Beach,Florida,33437,South,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,47.952,35.02094552,12.93105448,Online,Female,18-25,25,No,Henry Carter,Brian Torres,Brandon Nguyen
2132,US-2015-114188,20/05/2015,22/05/2015,Second Class,RF-19345,Randy Ferguson,Corporate,United States,Dover,New Hampshire,3820,East,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,139.86,84.26865755,55.59134245,Bank Transfer,Female,18-25,15,Yes,Joseph Young,Jack King,Jeffrey King
2632,US-2018-110604,15/05/2018,20/05/2018,Standard Class,JF-15295,Jason Fortune-,Consumer,United States,Seattle,Washington,98103,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,39.96,29.60122588,10.35877412,Cash,Female,26-35,10,No,William Taylor,Jose Hall,Dennis Lewis
4667,CA-2017-116547,10/01/2017,17/01/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,98115,West,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,49.63673562,30.28326438,Online,Male,18-25,10,Yes,William Taylor,Jose Hall,Dennis Lewis
5582,CA-2018-163818,04/10/2018,08/10/2018,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Clinton,Maryland,20735,East,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,19.98,13.43572479,6.544275214,Cash,Female,50+,10,No,Joseph Young,Mark Young,Jason Adams
8850,CA-2016-140718,02/07/2016,04/07/2016,First Class,FA-14230,Frank Atkinson,Corporate,United States,Raleigh,North Carolina,27604,South,FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock,159.84,97.33875633,62.50124367,Bank Transfer,Male,26-35,20,Yes,Henry Carter,Paul Hill,George Baker
1996,US-2018-147221,02/12/2018,04/12/2018,Second Class,JS-16030,Joy Smith,Consumer,United States,Houston,Texas,77036,South,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,294.62,215.4824256,79.13757437,Online,Female,36-50,15,No,Henry Carter,Jason Green,Eric Lewis
